IDNo_,Comment,Point,NAME_Species,Input_SiO2,Input_TiO2,Input_Al2O3,Input_Cr2O3,Input_FeO,Input_NiO,Input_MnO,Input_MgO,Input_CaO,Input_Na2O,Input_K2O,Input_P2O5,Input_SO3,Input_F,Input_Cl,Input_V2O3,Input_ZnO,Input_CoO,Input_BaO,Input_SrO,Input_B2O3,Input_PbO,Input_CuO,Input_Sb2O3,Input_As2O5,Input_ThO2,Input_ZrO2,Input_HfO2,Input_Ag2O,Input_Y2O3,Input_La2O3,Input_Ce2O3,Input_Nd2O3
3_88,,117,Kainite,,,,,,,,20.86348889,,1.734464687,19.99001747,,40.55403045,,16.8579985,,,,,,,,,,,,,,,,,,
3_89,,118,Kainite,,,,,,,,19.86503067,,,23.20245399,,39.4601227,,17.47239264,,,,,,,,,,,,,,,,,,
3_90,,119,Caledonite,,,,,,,,,,,,,15.85391823,,,,,,,,,73.64778535,10.49829642,,,,,,,,,,
3_91,,120,Caledonite,,,,,,,,,,,,,15.20524393,,,,,,,,,74.33913604,10.45562003,,,,,,,,,,
4_1,,121,Brockite,,,,,,,,,12.42387333,,,30.08526188,,,,,,,1.339829476,1.705237515,,,,,,54.44579781,,,,,,,
4_2,,122,Brushite,,,,,,,,,44.14194772,,,55.85805228,,,,,,,,,,,,,,,,,,,,,
4_3,,123,Brushite,,,,,,,,,44.11605938,,,55.88394062,,,,,,,,,,,,,,,,,,,,,
4_4,,124,Chlorapatite,,,,,,,,,53.67913148,,,41.41535987,,0.130679534,6.232408524,,,,,,,,,,,,,,,,,,
4_5,,125,Chlorapatite,,,,,,,,,53.84,,,40.89,,,6.81,,,,,,,,,,,,,,,,,,
4_6,,126,Fluorapatite,,,,,,,,,55.65565566,,,42.26226226,,3.673673674,,,,,,,,,,,,,,,,,,,
4_7,,127,Fluorapatite,,,,,,,,,55.63683736,,,42.09840665,,3.898186191,,,,,,,,,,,,,,,,,,,
4_8,,128,Hydroxylapatite,,,,,,,,,56.83738927,,,43.16261073,,,,,,,,,,,,,,,,,,,,,
4_9,,129,Hydroxylapatite,,,,,,,0.071319409,0.10188487,56.89251146,,,42.84258788,,0.163015792,,,,,,,,,,,,,,,,,,,
4_10,,130,Monetite,,,,,0.220507166,,0.661521499,,43.66041896,,,55.45755237,,,,,,,,,,,,,,,,,,,,,
4_11,,131,Monetite,,,,,,,,,44.14221461,,,55.85778539,,,,,,,,,,,,,,,,,,,,,
4_12,,132,Catalanoite,,,,,,,,,,47.35607676,,52.64392324,,,,,,,,,,,,,,,,,,,,,
4_13,,133,Dorfmanite,,,,,,,,,,46.87205704,,53.12794296,,,,,,,,,,,,,,,,,,,,,
4_14,,134,Dorfmanite,,,,,,,,,,46.61311914,,53.38688086,,,,,,,,,,,,,,,,,,,,,
4_15,,135,Nahpoite,,,,,,,,,,46.85119622,,53.14880378,,,,,,,,,,,,,,,,,,,,,
4_16,,136,Nahpoite,,,,,,,,,,46.62039509,,53.37960491,,,,,,,,,,,,,,,,,,,,,
4_17,,137,Buchwaldite,,,,,,,,,35.48,19.61,,44.91,,,,,,,,,,,,,,,,,,,,,
4_18,,138,Buchwaldite,,,,,,,0.059964022,,35.57865281,19.48830702,,44.87307615,,,,,,,,,,,,,,,,,,,,,
,,139,Natrophosphate,,,,,,,,,,56.88,,37.53,,5.58,,,,,,,,,,,,,,,,,,,
,,140,Natrophosphate,,,,,,,,,,55.03,,33.54,1.81,6.15,3.47,,,,,,,,,,,,,,,,,,
4_19,,141,baricite,,,,,22.25022815,,,32.43810931,,,,45.31166254,,,,,,,,,,,,,,,,,,,,,
4_20,,142,baricite,,,,,19.49326303,,,34.73930873,,,,45.76742824,,,,,,,,,,,,,,,,,,,,,
4_21,,143,bobierrite,,,,,,,,38.43917368,8.737566947,,,52.82325937,,,,,,,,,,,,,,,,,,,,,
4_22,,144,bobierrite,,,,,,,,45.99783248,,,,54.00216752,,,,,,,,,,,,,,,,,,,,,
4_23,,145,Chopinite/ferringtonite/baricite/bobieriite/cattiite,0.409918016,,,,21.16576685,,0.23995201,30.38392322,0.379924015,,,47.4205159,,,,,,,,,,,,,,,,,,,,,
4_24,,146,Holtedahlite,,,,,,,,54.23438837,,,,45.76561163,,,,,,,,,,,,,,,,,,,,,
4_25,,147,Holtedahlite,,,,,,,,54.58415193,,0.240122244,,44.95743287,,0.371098014,,,,,,,,,,,,,,,,,,,
4_26,,148,Hydroxylwagenerite,,,,,,,,53.17300562,,,,46.82699438,,,,,,,,,,,,,,,,,,,,,
4_27,,149,Hydroxylwagenerite,0.281378756,0.200984826,0.060295448,,0.331624962,,0.010049241,49.04029746,0.120590895,0.010049241,,44.31715405,,5.627575118,,,,,,,,,,,,,,,,,,,
4_28,,150,Kovdorskite,,,,,,,,53.12277707,,,,46.87722293,,,,,,,,,,,,,,,,,,,,,
4_29,,151,Kovdorskite,,,,,,,,53.17190598,,,,46.82809402,,,,,,,,,,,,,,,,,,,,,
4_30,,152,Newberyite/phosphorosslerite,,,,,,,,36.2212126,,,,63.7787874,,,,,,,,,,,,,,,,,,,,,
4_31,,153,Newberyite/phosphorosslerite,,,,,1.194308721,,0.294736658,34.92377266,,,,63.58718196,,,,,,,,,,,,,,,,,,,,,
4_32,,154,Phosphorrosslerite,,,,,,,,36.70800451,,,,63.29199549,,,,,,,,,,,,,,,,,,,,,
4_33,,155,Phosphorrosslerite,,,,,,,,36.22674934,,,,63.77325066,,,,,,,,,,,,,,,,,,,,,
4_34,,156,raadeite,,,,,0.343154656,,0.343154656,65.49520767,,,,33.34516625,,,,,,,,,,,,,0.473316767,,,,,,,,
4_35,,157,Graftonite,,,,,30.82570653,,17.72100976,0.402293071,9.282912602,0.331891783,,41.43618626,,,,,,,,,,,,,,,,,,,,,
4_36,,158,Graftonite/Sarcopside,,,,,36.75,,18.14,,4.78,,,40.33,,,,,,,,,,,,,,,,,,,,,
4_37,,159,Grattarolaite,,,,,75.22917886,,,,,,,24.77082114,,,,,,,,,,,,,,,,,,,,,
4_38,,160,heteroisite/rodolicoite,,,,,26.23397796,,23.92112732,,,,,49.84489473,,,,,,,,,,,,,,,,,,,,,
4_39,,161,heteroisite/rodolicoite,,,,,38.27328125,,12.0392994,,1.518781002,,,48.16863835,,,,,,,,,,,,,,,,,,,,,
4_40,,162,Rodolicoite,,,,,51.95516106,,,,,,,48.04483894,,,,,,,,,,,,,,,,,,,,,
4_41,,163,Sarcopside,,,,,50,,6.87250996,3.486055777,,,,39.64143426,,,,,,,,,,,,,,,,,,,,,
